ticker,company,sector,industry_code,exchange,state,ipo_date,fiscal_year_end,employees,sales,cogs,sga,r_and_d,ebitda,ebit,interest_expense,net_income,dividends,capex,cfo,total_assets,total_liabilities,total_debt,cash,book_equity,shares_out,price,mktcap,ret_2025,vol,beta_2025
GCO,Genesco Inc,Consumer Discretionary,255040,NYSE,TN,,2026-01-31,16.0,2436.096,1255.921,1109.536,0.0,70.639,17.314,4.798,13.269,0.0,62.054,145.76,1392.978,825.934,521.383,105.405,566.209,10.789,28.93,312.126,-0.4206,0.726,1.8739
NMRA,Neumora Therapeutics Inc,Health Care,352020,NASDAQ,MA,2023-09-15,2025-12-31,0.096,0.0,0.0,235.948,181.065,-235.948,-236.156,2.772,-236.928,0.0,0.0,-206.44,191.047,87.176,55.009,182.53,103.871,174.26,1.79,311.925,-0.8311,1.294,1.3363
ALDX,Aldeyra Therapeutics Inc,Health Care,352010,NASDAQ,MA,2014-05-02,2025-12-31,0.008,0.0,0.0,35.266,25.663,-35.266,-35.266,1.905,-33.847,0.0,0.0,-33.346,72.059,27.809,15.531,70.041,44.25,60.163,5.18,311.644,0.0381,1.137,1.0141
PLBC,Plumas Bancorp,Financials,401010,NASDAQ,NV,,2025-12-31,0.246,106.633,20.727,35.172,,50.734,47.899,,29.617,7.72,1.311,21.587,2238.523,1977.447,147.897,80.616,261.076,6.959,44.69,310.998,-0.0272,0.294,0.4909
CADL,Candel Theraptcs Inc,Health Care,352010,NASDAQ,MA,2021-07-27,2025-12-31,0.055,0.0,0.0,47.115,30.496,-47.115,-47.96,2.119,-38.182,0.0,0.587,-38.311,125.195,73.273,49.034,119.731,51.922,54.898,5.65,310.174,-0.3491,0.812,1.8461
LNKB,Linkbancorp Inc,Financials,401010,NASDAQ,PA,,2025-12-31,0.319,175.411,68.468,48.645,,58.298,52.359,,33.511,11.158,1.461,25.266,3070.929,2764.497,192.845,52.293,306.432,37.458,8.26,309.403,0.1502,0.323,0.7674
FSBW,Fs Bancorp Inc,Financials,401010,NASDAQ,WA,2012-07-10,2025-12-31,0.581,219.523,76.386,64.91,,78.227,78.227,,33.346,10.262,20.374,72.313,3196.847,2889.153,184.855,28.219,307.694,7.508,41.17,309.104,0.0375,0.291,0.6539
PCB,Pcb Bancorp,Financials,401010,NASDAQ,CA,,2025-12-31,0.265,209.372,97.686,45.793,,65.893,61.6,,37.453,11.465,2.193,26.589,3281.771,2891.745,52.996,207.142,320.885,14.23,21.65,308.08,0.1118,0.284,0.7725
BNTC,Benitec Biopharma Inc,Health Care,352010,NASDAQ,CA,,2025-06-30,0.019,0.0,41.699,,18.332,-41.699,-41.765,,-37.917,0.0,0.018,-23.588,99.592,2.297,0.849,97.857,97.295,26.25,11.7,307.125,0.0665,0.675,0.6852
MPX,Marine Products Corp,Consumer Discretionary,252020,NYSE,GA,,2025-12-31,0.698,244.419,194.506,32.247,1.5,17.666,14.528,0.09,11.383,19.595,1.541,16.464,147.232,22.267,0.153,43.512,124.965,34.998,8.76,306.582,0.0194,0.355,0.8151
VUZI,Vuzix Corp,Information Technology,452030,NASDAQ,NY,,2025-12-31,0.088,6.281,6.642,28.866,12.626,-29.227,-32.377,0.0,-32.273,0.0,2.013,-18.789,40.072,5.39,1.003,21.15,24.682,81.1,3.78,306.558,-0.0406,1.08,2.521
AVNW,Aviat Networks Inc,Information Technology,452010,NASDAQ,TX,2007-01-29,2025-06-30,0.923,434.606,286.942,117.647,35.768,30.017,21.972,6.058,1.341,0.0,12.97,5.721,633.296,370.113,90.921,59.69,263.183,12.74,24.05,306.397,0.1806,0.517,1.2331
FHTX,Foghorn Therapeutics Inc,Health Care,352010,NASDAQ,MA,2020-10-23,2025-12-31,0.106,30.909,109.684,,85.466,-78.775,-82.107,0.0,-74.283,0.0,0.05,-86.099,198.103,306.603,41.27,160.144,-108.5,56.657,5.4,305.948,0.1441,0.789,1.4086
SKYH,Sky Harbour Group Corp,Industrials,203050,NYSE,NY,2020-10-22,2025-12-31,0.112,27.54,25.456,23.817,,-21.733,-28.027,8.136,18.818,0.0,84.174,-2.336,593.176,421.21,373.581,48.477,127.743,33.99,8.97,304.89,-0.2481,0.418,0.8881
MCFT,Mastercraft Boat Hldngs In,Consumer Discretionary,252020,NASDAQ,TN,2015-07-17,2025-06-30,0.7,284.203,219.559,43.174,6.5,21.47,11.891,1.169,7.043,0.0,9.198,35.593,259.948,76.362,0.0,79.444,183.386,16.407,18.58,304.842,-0.0084,0.459,1.0812
NECB,Northeast Community Bancorp,Financials,401010,NASDAQ,NY,2006-07-06,2025-12-31,0.146,158.211,53.284,27.044,,77.883,76.714,,44.413,13.404,1.747,52.588,2063.508,1711.808,75.23,81.275,351.7,13.442,22.61,303.924,-0.035,0.29,0.7594
WSBF,Waterstone Financial Inc,Financials,402010,NASDAQ,WI,,2025-12-31,0.593,201.295,57.98,86.813,,56.502,54.607,,26.402,10.641,1.165,24.183,2259.507,1910.115,412.258,71.107,349.392,18.36,16.55,303.858,0.2875,0.254,0.5097
XRX,Xerox Holdings Corp,Information Technology,452020,NASDAQ,CT,,2025-12-31,22.9,7022.0,4632.0,1816.0,178.0,574.0,243.0,322.0,-1029.0,27.0,91.0,224.0,9823.0,9150.0,4582.0,543.0,444.0,128.044,2.37,303.464,-0.7052,0.682,1.7052
PKOH,Park Ohio Holdings Corp,Industrials,201060,NASDAQ,OH,,2025-12-31,6.3,1599.1,1294.9,189.6,,114.6,81.6,47.5,23.8,7.2,40.3,41.3,1419.6,1036.8,670.3,44.8,380.9,14.402,20.94,301.578,-0.1826,0.438,1.1987
IPST,Ip Strategy Holdings Inc,Consumer Staples,302010,NASDAQ,WA,2024-11-22,2025-12-31,0.021,10.12,4.395,17.012,,-11.287,-12.351,1.642,-137.715,0.0,0.075,-15.328,108.758,10.542,4.742,0.245,98.216,193.022,1.56,301.114,-0.9547,1.579,1.2239
KELYA,Kelly Services Inc  -Cl A,Industrials,202020,NASDAQ,MI,,2025-12-31,379.9,4250.9,3397.9,751.3,,101.7,59.7,12.4,-254.1,11.0,8.5,122.6,2250.6,1274.1,159.1,33.0,976.5,34.2,8.8,300.96,-0.3523,0.402,0.6901
GLSI,Greenwich Lifescie Inc,Health Care,352010,NASDAQ,TX,2020-09-25,2025-12-31,,0.0,0.0,19.446,17.22,-19.446,-19.448,0.0,-19.358,0.0,0.0,-9.913,6.178,5.825,0.0,6.178,0.353,14.298,21.01,300.401,0.8709,0.668,0.862
