gvkey,tic,conm,fyear,sale,cogs,xsga,oiadp,ni,at
032843,CAAP,CORPORACION AMERICA AIRPORTS,2024,1843.267,1042.279,197.718,400.863,282.674,4181.45
174744,EVR,EVERCORE INC,2024,2995.746,2404.852,,566.426,378.279,4173.971
185128,AMRC,AMERESCO INC,2024,1769.928,1431.386,166.52,82.479,56.757,4158.508
273726,SDRL,SEADRILL LTD,2024,1385.0,924.0,107.0,186.0,446.0,4156.0
029156,UFPI,UFP INDUSTRIES INC,2024,6652.309,5307.526,704.925,491.696,414.56,4150.938
035447,DT,DYNATRACE INC,2024,1698.683,285.628,1185.518,179.433,483.684,4139.678
064901,MMS,MAXIMUS INC,2024,5306.197,4020.588,665.465,494.617,306.914,4131.508
001659,ANDE,ANDERSONS INC,2024,11257.548,10435.818,500.882,193.044,114.012,4121.314
033695,CCB,COASTAL FINANCIAL CORP,2024,704.982,401.356,74.02,225.054,45.219,4121.208
140988,TNET,TRINET GROUP INC,2024,5053.0,4101.0,540.0,337.0,173.0,4119.0
043316,CART,MAPLEBEAR INC,2024,3378.0,799.0,2014.0,509.0,457.0,4115.0
146140,PDM,PIEDMONT OFFICE REALTY TRUST,2024,574.671,494.495,30.592,49.584,-79.069,4114.651
177067,CCEC,CAPITAL CLEAN ENERGY CARRIER,2024,369.413,75.45,16.682,191.125,193.634,4112.882
011191,VSH,VISHAY INTERTECHNOLOGY INC,2024,2937.587,2112.334,501.88,112.728,-31.15,4110.696
160621,SFL,SFL CORP LTD,2024,904.404,343.303,20.986,300.934,130.653,4107.769
007549,MOG.A,MOOG INC  -CL A,2024,3609.16,2525.373,608.672,382.027,207.22,4093.626
165743,SBLK,STAR BULK CARRIERS CORP,2024,1265.458,680.903,71.086,349.414,304.654,4086.378
063172,FDS,FACTSET RESEARCH SYSTEMS INC,2024,2203.056,886.758,431.087,760.024,537.126,4055.04
026361,RRR,RED ROCK RESORTS INC,2024,1939.011,744.227,432.276,575.396,154.051,4045.531
019484,FTAI,FTAI AVIATION LTD,2024,1734.901,825.884,138.573,552.38,8.682,4037.952
041059,ESAB,ESAB CORP,2024,2740.803,1668.148,544.378,461.677,264.842,4033.975
033301,DOCU,DOCUSIGN INC,2024,2976.739,526.305,2108.641,233.989,1067.885,4012.705
322985,DEC,DIVERSIFIED ENERGY CO,2024,794.841,428.902,117.647,-39.06,-88.272,4003.525
025030,VRTS,VIRTUS INVESTMENT PTNRS INC,2024,906.949,659.365,,182.327,121.746,3994.494
160893,ENS,ENERSYS,2024,3617.579,2420.69,608.656,487.357,363.735,3971.248
025756,P,EVERPURE INC,2024,3168.164,824.926,2111.55,101.488,106.739,3963.942
064857,SRPT,SAREPTA THERAPEUTICS INC,2024,1901.979,311.423,1327.075,218.081,235.239,3963.173
007401,MLKN,MILLERKNOLL INC,2024,3669.9,2129.9,1174.9,224.6,-36.9,3950.2
148170,RIOT,RIOT PLATFORMS INC,2024,376.658,262.755,266.915,-365.065,109.401,3935.307
023249,LITE,LUMENTUM HOLDINGS INC,2024,1359.2,859.7,520.3,-282.0,-546.5,3931.9
039048,FA,FIRST ADVANTAGE CORP,2024,860.205,448.911,323.559,-58.184,-110.273,3922.893
039309,STGW,STAGWELL INC,2024,2841.216,1842.978,688.808,157.778,2.259,3908.221
271342,CMBT,CMB TECH NV,2024,990.906,377.829,77.766,369.282,870.829,3905.046
025747,LFUS,LITTELFUSE INC,2024,2190.768,1334.901,453.094,272.321,100.19,3891.779
118267,KFY,KORN FERRY,2024,2761.086,2074.097,245.037,361.665,246.062,3861.224
065275,BFAM,BRIGHT HORIZONS FAMILY SOLTN,2024,2686.013,1985.996,352.463,249.636,140.191,3850.319
029052,LXP,LXP INDUSTRIAL TRUST,2024,355.279,253.376,40.482,61.421,44.534,3843.312
011670,SPB,SPECTRUM BRND HLDG INC,2024,2963.9,1752.8,919.7,189.6,124.8,3842.3
184352,STNG,SCORPIO TANKERS INC,2024,1243.951,378.955,121.048,588.066,668.774,3833.652
030059,AEO,AMERN EAGLE OUTFITTERS INC,2024,5328.652,3231.449,1431.814,444.864,329.38,3830.775
022447,PARR,PAR PACIFIC HOLDINGS INC,2024,7974.457,7720.299,108.844,36.045,-33.322,3829.371
065009,AROC,ARCHROCK INC,2024,1157.591,458.501,139.121,366.775,172.231,3824.205
025219,HLI,HOULIHAN LOKEY INC,2024,2389.416,1831.802,,516.344,399.711,3819.708
146017,AYI,ACUITY INC,2024,3841.0,2007.9,1185.7,556.3,422.6,3814.6
021847,HUBS,HUBSPOT INC,2024,2627.543,298.336,2286.495,-54.116,4.628,3795.833
043057,PHIN,PHINIA INC,2024,3403.0,2487.0,442.0,314.0,79.0,3768.0
002593,CBT,CABOT CORP,2024,3994.0,2871.0,345.0,627.0,380.0,3736.0
041782,SKWD,SKYWARD SPECIALTY INS GP INC,2024,1147.676,983.978,,159.711,118.828,3729.478
